mission_id,split,site,drone_model,thermal_camera,rgb_camera,pilot,operator,total_frames,anomaly_frames,anomaly_rate_pct,flight_date,weather,inspection_type,regulatory_clearance,firmware_version
MISSION_0001,train,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",DJI Matrice 300 RTK,FLIR Zenmuse H20T,Sony ILX-LR1 (4K),PILOT_008,Indus Towers,1410,111,7.87,2024-03-03,partly_cloudy,commissioning,DGCA-UAS-69772,v9.6.79
MISSION_0002,train,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",DJI Matrice 300 RTK,Teledyne FLIR Boson+,DJI DL 50mm,PILOT_009,TASL,830,262,31.57,2024-08-16,clear,commissioning,DGCA-UAS-11821,v9.3.95
MISSION_0003,train,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",DJI Matrice 30T,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_004,GTL Infra,600,0,0.0,2024-03-09,clear,emergency,DGCA-UAS-78461,v9.6.42
MISSION_0004,train,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",Skydio X10,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_002,GTL Infra,1330,283,21.28,2024-03-07,clear,routine,DGCA-UAS-29557,v9.2.99
MISSION_0005,train,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",DJI Matrice 300 RTK,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_004,TASL,1780,121,6.8,2024-03-22,partly_cloudy,routine,DGCA-UAS-58816,v8.2.83
MISSION_0006,train,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",Skydio X10,FLIR Vue Pro R,DJI DL 50mm,PILOT_009,GTL Infra,630,81,12.86,2024-10-09,haze,routine,DGCA-UAS-42602,v9.6.77
MISSION_0007,train,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",Parrot ANAFI USA,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_008,TowerCo India,1710,31,1.81,2024-06-14,clear,post_storm,DGCA-UAS-66936,v7.3.32
MISSION_0008,train,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",DJI Matrice 300 RTK,FLIR Vue Pro R,DJI DL 50mm,PILOT_008,TowerCo India,1620,0,0.0,2024-05-20,haze,commissioning,DGCA-UAS-27699,v5.9.24
MISSION_0009,train,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",DJI Matrice 300 RTK,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_009,Indus Towers,1630,203,12.45,2024-02-04,overcast,routine,DGCA-UAS-25398,v5.6.22
MISSION_0010,train,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",Skydio X10,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_002,TowerCo India,1700,0,0.0,2024-02-23,partly_cloudy,emergency,DGCA-UAS-86407,v9.9.27
